col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,,,,,,,,,,,
-1.08,-6.2,0,0,-4169.03,2777.71,64.31,63.08,2.12,-316.33,13.35,1303.07,2564.6,-4169.03,2777.72,-1308.04,196.69,172.04,-3586.46,820,-3856.43,1668.49
2.99,-0.79,0,0,616.79,2428.17,61.75,65.53,2.98,-229.67,244.99,1121.97,1504.83,616.79,2428.16,-1126.76,50.6,39.9,-1326.28,1944.64,-2663.6,892.7
-4.92,-2.55,0,0,-4380.52,-243.45,65.56,65.19,3.41,-146.14,-112.97,2100.11,7.52,-4380.52,-243.45,-1171.05,9.78,-54.98,-2991.21,-1248.54,-3275.18,395.35
-3.82,0.24,0,0,-2543.08,-2217.81,66.77,64.55,3.07,1080.34,-788.24,939.19,-317.7,-2543.08,-2217.81,-628.76,276.74,-78.73,-1104.97,-2077.73,-809.48,431.91
-1.5,0.85,0,0,-1973.7,-2010.49,66.15,66.46,2.64,-189.16,19.27,727.75,-1015,-1973.7,-2010.48,-945.18,-156.45,-31.28,-2007.56,-735.73,-2557.96,-623.74
0.63,-3.81,0,0,-3179.51,832.76,64.82,64.09,3.07,-60.78,-260.88,1089.8,0.01,-3179.51,832.74,-1143.44,-23.66,99.86,-2697.12,342.14,-2683.58,-481.88
-4.42,0.46,0,0,-3129.28,-1857.98,64,66.13,3.2,-15.21,110.47,1962.42,-730.66,-3129.28,-1857.97,-898.48,-96.42,-47.71,-2445.49,-1418.35,-2753.9,93.33
-4.68,1.12,0,0,-1366.05,-2768.99,63.8,61.1,2.78,199.62,685.06,1161.22,-1644.65,-1366.04,-2769,-1033.24,309.4,75.66,-645.81,-1095.36,-2396.83,1189.38
-4.7,-2.95,0,0,-4419.36,-287.48,64.82,65.18,3.83,603.19,790.03,1425.63,-205.73,-4419.36,-287.49,-854.44,-298.31,-51,-3266.28,-1421.71,-3033.06,-371.4
-1.78,2.79,0,0,143.73,-4362.22,64.46,66.96,2.82,-0.95,-13.37,589.81,-1463.38,143.72,-4362.22,-1062.66,246.63,13.81,1152.26,-2581.41,-2022.75,1779.6
-3.34,2.03,0,0,-1151.57,-3159.56,65.19,65.19,3.37,259.14,-220.95,-23.46,-421.34,-1151.57,-3159.56,-429.86,672.71,-29.94,428.08,-2830.54,-698.79,1817.14
-4.85,-2.88,0,0,-4376.26,336.06,65.81,65.75,3.69,938.94,1057.82,323.94,120.72,-4376.26,336.06,-503.52,-418.64,-74.05,-3302.44,-906.01,-2516.28,-683.11
-1.56,2.16,0,0,569.73,-3688.86,64.38,65.52,3.58,1.58,37.35,296.14,-1341.14,569.73,-3688.87,-1027.87,280.51,-19.9,668.21,-2338.21,-1978.07,1735.55
5.47,-0.14,0,0,5156.53,6204.81,64.58,69.79,3.22,-329.91,-101.49,-336.11,586.68,5156.53,6204.8,-1118.54,58.47,-0.4,-272.06,4720.87,-2047.46,-269.14
-5.57,-0.74,0,0,-3634.66,-999.52,64.29,65.53,3.02,715.18,642.46,-31.92,-34.68,-3634.66,-999.51,104.09,-369.92,-49.47,-2835.45,-1412.49,-1533.08,-593.79
1.6,-0.76,0,0,-1100.4,-106.05,62.57,64.91,2.6,185.98,-321.44,794.35,344.26,-1100.4,-106.05,-766.14,-38.53,-22.57,-1476.11,-22.79,-2043.98,-227.24
-6.45,0.83,0,0,-3286.75,-2515.72,65.09,63.17,3,1737.51,-1843.12,3214.48,34.84,-3286.75,-2515.71,-1153.33,299.46,-27.69,-1514.29,-3027.48,-2127.59,1816.85
-6.59,2.25,0,0,-1911.24,-3592.54,64.11,64.78,3.61,46.25,-667.63,443.38,-1384.04,-1911.24,-3592.54,-730.14,398.21,-57.9,-163.05,-3348.56,-639.99,828.27
0.09,-6.33,0,0,-4273.54,2988.08,64.15,64.77,2.12,-339.15,-33.38,1356.09,2976.94,-4273.54,2988.09,-1308.04,196.69,186.15,-3649.59,1142.27,-3856.43,1668.49
4.79,5.31,0,0,6584.98,95.46,57.91,64.18,3.14,-130.27,-429.25,-410.57,47.15,6584.98,95.46,-185.9,1892.35,51.59,5767.61,-1173.88,1533.08,5393.13
-3.71,1.65,0,0,-1769.79,-2433.93,66.1,65.19,3.58,772,-350.65,1457.27,18.09,-1769.79,-2433.93,1283.11,400.79,-20.24,-575.04,-2813.14,483.93,578.67
-3.14,-4.17,0,0,-4221.59,442.99,64.76,66.35,3.02,78.99,571.25,936.02,42.17,-4221.59,442.99,-905.62,-324.36,-76.42,-3702.13,-324.73,-2687.52,-897.47
-2.84,2.05,0,0,-784.5,-4613.22,63.74,66.58,3.81,2.36,-128.06,709.77,-1681.59,-784.5,-4613.21,-760.82,220.9,-45.16,928.43,-2944.41,-707.72,1987.92
-4.23,-2.09,0,0,-4176.24,-177.37,67.23,63.38,3.87,-17.98,203.18,2542.67,7.49,-4176.24,-177.38,-1199.63,63.83,-63.78,-2930.19,-1267.93,-3456.59,1093.17
-1.31,1.6,0,0,-1247.17,-1260.03,67.07,66.83,2.63,-299.88,49.44,-22.41,-718.65,-1247.17,-1260.01,-239.07,130.18,-9.69,-834.57,-644.78,-743.6,-525.46
0.54,-1.9,0,0,-2298.51,-528.36,67.79,64.89,2.39,229.9,108.4,1756.08,-634.5,-2298.51,-528.36,-1023.07,-182.07,6.21,-1731.7,199.33,-2548.84,-141.36
-5.14,-0.06,0,0,-3110.1,-1804.4,65.41,66.34,2.36,881.94,-610.51,2750.43,-412.2,-3110.1,-1804.39,-460.01,4.25,-7.58,-2404.43,-1681.47,-2140.29,552.13
5.43,-6.56,0,0,46.86,6782.58,64.39,60.39,3.33,-346.71,-35.33,1674.56,2218.04,46.86,6782.57,-1232.87,306.45,139.36,-1850.89,3315,-3017.88,1722.36
-2.07,-0.48,0,0,136.05,56.97,62.4,65.13,3.24,645.46,701.44,-56.9,-350.16,136.05,56.98,-35.92,124.13,-62.55,18.87,-824.11,490.44,-538.91
-4.59,2.39,0,0,-822.24,-4157.12,67.5,62.13,2.78,52.28,52.38,1125.32,-1475.92,-822.24,-4157.14,-432.42,804.55,-116.77,679.04,-3288.98,-1267.98,1926.26
-3.81,-3.1,0,0,-3403.23,-1127.45,61.87,63.6,4.15,160.76,-98.72,-394.2,-27.52,-3403.23,-1127.45,-551.59,-462.45,-55.81,-2695.4,-1005.76,-1609.23,-703.3
-5.79,2.48,0,0,-1679.09,-3632.87,66.7,61.48,3.1,-70.82,-413.87,1123.75,-712.8,-1679.09,-3632.88,-902.44,606.49,55.85,576.42,-3763.61,-979.27,2040.45
-3.05,-3.28,0,0,-3749.78,1040.26,62.53,60.89,2.61,-214.93,-138.61,-30.33,241.99,-3749.78,1040.26,-517.6,-187.75,4.11,-2965.32,-652.43,-2576.69,44.4
-3.71,-1.85,0,0,-3256.23,-921.58,63.4,65.7,5.52,-45.41,-181.29,-437.69,-289.52,-3256.23,-921.57,64.85,-523.03,-85.4,-2204.18,-1313.87,-889.81,-1084.73
0.02,-6.27,0,0,-4090.98,2946.92,61.94,65.5,2.55,-320.03,-4.88,-245.37,411.05,-4090.98,2946.92,-1160.94,-1.44,178.59,-3715.62,771.22,-3325.3,-230.67
0.53,4.17,0,0,3340.76,-4886.28,65.81,65.84,2.58,-308.58,27.17,904.33,-1738.27,3340.76,-4886.29,-916.79,196.07,8.32,2784.44,-1231.33,-256.91,1922.36
-5.98,0.09,0,0,-3536.3,-2365.5,65.77,66.86,3.28,1990.57,44.91,2034.64,-477.68,-3536.3,-2365.5,-631.47,-237.98,-3.69,-2518.01,-2241.2,-2118.83,-217.85
6.34,-5.99,0,0,-938.18,6452.87,66.58,62.31,3.34,-339.02,-31.78,1703.54,2786.52,-938.18,6452.86,-1275.47,170.8,200.97,-2973.92,3675.88,-3523.37,1166.09
1.62,-1.72,0,0,-1438.33,722.44,62.38,67.33,2.93,-169.14,158.31,933.57,-9.92,-1438.33,722.44,-789.74,-733.78,-20.09,-2089.85,1002.29,-2515.03,-1258.96
